,lat,long,bikes_available,bikes_in_use,total_bikes
1214,52.467766,13.484143,0,4,4
1215,52.473941,13.423344,0,4,4
1216,52.474624,13.42258,1,3,4
1217,52.475493,13.422298,0,4,4
1218,52.478817,13.421688,1,3,4
1219,52.481261,13.42778,3,1,4
1220,52.481484,13.431757,0,4,4
1221,52.466603,13.432013,1,3,4
1222,52.4674,13.431682,1,3,4
1223,52.499239,13.445587,7,0,4
1224,52.500216,13.443811,3,1,4
1225,52.49763,13.448061,3,1,4
1226,52.514398,13.466188,3,1,4
1227,52.514567,13.467759,2,2,4
1228,52.516407,13.465236,1,3,4
1229,52.524446,13.407826,2,2,4
1230,52.524538,13.449399,0,4,4
1231,52.525037,13.406045,3,1,4
1232,52.523167,13.403755,3,1,4
1233,52.52364,13.407395,0,4,4
1234,52.52682,13.401099,1,3,4
1235,52.527592,13.400732,2,2,4
1236,52.533663,13.402855,0,4,4
1237,52.535242,13.403668,0,4,4
1238,52.538475,13.409516,3,1,4
1239,52.554907,13.391025,0,4,4
1240,52.551893,13.465768,0,4,4
1241,52.550028,13.446485,1,3,4
1242,52.553686,13.43471,0,4,4
1243,52.551378,13.429831,0,4,4
1244,52.552328,13.424324,0,4,4
1245,52.554376,13.402786,0,4,4
1246,52.556248,13.38433,0,4,4
1247,52.556162,13.377618,0,4,4
1248,52.556734,13.36596,0,4,4
1249,52.543611,13.339736,0,4,4
1250,52.550443,13.413944,0,4,4
1251,52.552246,13.413926,1,3,4
1252,52.563419,13.412386,0,4,4
1253,52.475645,13.439739,1,3,4
1254,52.480333,13.446954,0,4,4
1255,52.519257,13.3002,3,1,4
1256,52.496569,13.485644,1,3,4
1257,52.501042,13.477033,0,4,4
1258,52.455428,13.384255,0,4,4
1259,52.448138,13.385133,2,2,4
1260,52.469456,13.491266,1,7,8
1261,52.467812,13.492917,1,3,4
1262,52.476282,13.35751,2,2,4
1263,52.476991,13.360287,1,3,4
1264,52.478972,13.354454,0,4,4
1265,52.469443,13.367475,4,0,4
1266,52.47884,13.371241,1,3,4
1267,52.55339,13.386406,0,4,4
1268,52.475795,13.366161,4,16,20
1269,52.567262,13.420099,0,4,4
1270,52.556941,13.414584,0,4,4
1271,52.565627,13.402693,0,4,4
1272,52.56614,13.396238,1,3,4
1273,52.56136,13.407376,1,3,4
1274,52.558635,13.386578,0,4,4
1275,52.560246,13.380151,1,3,4
1276,52.560945,13.37179,0,4,4
1277,52.562186,13.357358,2,2,4
1278,52.552135,13.342016,0,4,4
1279,52.548316,13.348502,1,3,4
1280,52.467028,13.382863,1,3,4
1281,52.460765,13.384491,0,4,4
1282,52.457591,13.376107,1,3,4
1283,52.459943,13.308427,2,2,4
1284,52.447866,13.30594,2,2,4
1285,52.446717,13.401633,2,2,4
1286,52.452494,13.438933,0,4,4
1287,52.455189,13.444573,1,3,4
1288,52.460141,13.429857,3,1,4
1289,52.46622,13.436467,2,2,4
1290,52.464714,13.438945,0,4,4
1291,52.46674,13.435324,2,2,4
1292,52.468129,13.445263,3,1,4
1293,52.464122,13.433581,1,3,4
1294,52.460573,13.435029,1,3,4
1295,52.462549,13.418127,0,4,4
1296,52.462481,13.422074,0,4,4
1297,52.464613,13.416279,1,3,4
1298,52.452343,13.43355,0,4,4
1299,52.46532,13.421638,0,4,4
1300,52.450102,13.347305,2,2,4
1301,52.451161,13.338404,1,3,4
1302,52.462753,13.338982,0,4,4
1303,52.464301,13.334857,0,4,4
1304,52.459369,13.335211,0,4,4
1305,52.458532,13.339088,0,4,4
1306,52.460425,13.342402,0,4,4
1307,52.455851,13.332353,0,4,4
1308,52.454254,13.328899,0,4,4
1309,52.458069,13.327006,0,4,4
1310,52.462875,13.333301,0,4,4
1311,52.455909,13.323494,0,4,4
1312,52.457911,13.317597,0,4,4
1313,52.461129,13.317572,2,2,4
1314,52.464482,13.316512,2,2,4
1315,52.469611,13.325351,4,0,4
1316,52.473514,13.332556,0,4,4
1317,52.449789,13.366758,1,3,4
1318,52.440832,13.420079,2,2,4
1319,52.442179,13.404577,0,4,4
1320,52.489558,13.260491,0,4,4
1321,52.498288,13.269833,2,2,4
1322,52.485155,13.382592,1,3,4
1323,52.484911,13.376829,0,4,4
1324,52.4916,13.382469,0,4,4
1325,52.488441,13.391604,0,4,4
1326,52.48686,13.390585,0,4,4
1327,52.489234,13.397538,0,4,4
1328,52.487237,13.386286,1,3,4
1329,52.499102,13.45991,0,4,4
1330,52.511998,13.472623,0,4,4
1331,52.512618,13.459508,5,0,4
1332,52.509863,13.462177,1,3,4
1333,52.513886,13.453514,5,0,4
1334,52.508545,13.462302,2,2,4
1335,52.517053,13.460933,1,3,4
1336,52.512421,13.468423,0,4,4
1337,52.511221,13.46306,1,3,4
1338,52.50609,13.442309,0,4,4
1339,52.505969,13.43982,0,4,4
1340,52.504252,13.443285,1,3,4
1341,52.51169,13.43356,1,3,4
1342,52.512532,13.413326,0,4,4
1343,52.493632,13.462173,1,3,4
1344,52.48812,13.462813,1,3,4
1345,52.495806,13.467458,2,2,4
1346,52.495,13.471561,0,4,4
1347,52.502756,13.438865,0,4,4
1348,52.521636,13.436038,1,3,4
1349,52.52195,13.423276,2,2,4
1350,52.524966,13.42137,3,1,4
1351,52.52658,13.42773,0,4,4
1352,52.511748,13.466277,2,2,4
1353,52.50689,13.468852,0,4,4
1354,52.506249,13.465785,3,1,4
1355,52.492165,13.28472,0,4,4
1356,52.486687,13.284127,0,4,4
1357,52.489487,13.29024,0,4,4
1358,52.490726,13.276213,0,4,4
1359,52.495947,13.286775,1,3,4
1360,52.496653,13.288269,0,4,4
1361,52.494876,13.289228,0,4,4
1362,52.489538,13.284489,0,4,4
1363,52.488323,13.278642,3,1,4
1364,52.482947,13.285437,1,3,4
1365,52.479982,13.271727,0,4,4
1366,52.506997,13.235506,0,4,4
1367,52.507841,13.24234,2,2,4
1368,52.512989,13.239465,0,4,4
1369,52.515482,13.243876,0,4,4
1370,52.516486,13.25685,0,4,4
1371,52.506984,13.228057,0,4,4
1372,52.50962,13.228719,0,4,4
1373,52.534412,13.431324,0,4,4
1374,52.535697,13.432148,0,4,4
1375,52.540906,13.424977,0,4,4
1376,52.542994,13.423566,0,4,4
1377,52.544083,13.423976,0,4,4
1378,52.545787,13.419993,0,4,4
1379,52.531209,13.411732,1,3,4
1380,52.530557,13.41426,1,3,4
1381,52.529053,13.409872,3,1,4
1382,52.530587,13.406002,0,4,4
1383,52.519948,13.433296,5,0,4
1384,52.52512,13.444097,0,4,4
1385,52.530602,13.435186,2,2,4
1386,52.536515,13.436958,0,4,4
1387,52.535465,13.439219,0,4,4
1388,52.533425,13.443001,1,3,4
1389,52.533673,13.438819,0,4,4
1390,52.536788,13.272009,0,4,4
1391,52.519139,13.425003,1,3,4
1392,52.526361,13.409663,5,0,4
1393,52.527273,13.406421,2,2,4
1394,52.527534,13.404753,2,2,4
1395,52.527465,13.402977,6,0,4
1396,52.529012,13.4031,3,1,4
1397,52.528928,13.399994,0,4,4
1398,52.527283,13.392355,2,2,4
1399,52.527403,13.388954,0,4,4
1400,52.530376,13.387586,1,3,4
1401,52.529375,13.384754,3,1,4
1402,52.52144,13.417429,0,4,4
1403,52.522831,13.415889,4,0,4
1404,52.524926,13.413601,0,4,4
1405,52.527005,13.414112,0,4,4
1406,52.526915,13.410997,2,2,4
1407,52.524192,13.409164,1,3,4
1408,52.525354,13.398893,1,3,4
1409,52.523425,13.389947,1,3,4
1410,52.523516,13.388461,1,3,4
1411,52.523405,13.384277,1,3,4
1412,52.522198,13.384228,1,3,4
1413,52.520687,13.3848,4,0,4
1414,52.521805,13.386741,1,3,4
1415,52.520474,13.388044,1,3,4
1416,52.522593,13.394292,1,3,4
1417,52.522978,13.377464,3,1,4
1418,52.52081,13.377426,2,2,4
1419,52.523474,13.379679,1,3,4
1420,52.523562,13.373848,4,0,4
1421,52.528173,13.377881,3,1,4
1422,52.528245,13.381321,3,1,4
1423,52.532103,13.378451,0,4,4
1424,52.527141,13.370811,5,0,4
1425,52.527354,13.363774,0,4,4
1426,52.519711,13.355843,1,3,4
1427,52.521983,13.348749,1,3,4
1428,52.5302,13.362229,1,3,4
1429,52.540887,13.368448,0,4,4
1430,52.540143,13.375806,0,4,4
1431,52.542465,13.383551,1,3,4
1432,52.538205,13.38484,5,0,4
1433,52.539024,13.385929,0,4,4
1434,52.533082,13.387377,0,4,4
1435,52.529424,13.392779,1,3,4
1436,52.528686,13.394104,2,2,4
1437,52.533535,13.396765,0,4,4
1438,52.532604,13.397668,0,4,4
1439,52.533933,13.387045,0,4,4
1440,52.532271,13.381129,3,1,4
1441,52.537918,13.373258,2,2,4
1442,52.524945,13.40321,0,4,4
1443,52.528764,13.34348,2,2,4
1444,52.526349,13.34363,3,1,4
1445,52.52832,13.338717,1,3,4
1446,52.531046,13.32878,0,4,4
1447,52.530901,13.331518,2,2,4
1448,52.525967,13.318571,1,3,4
1449,52.528975,13.306918,1,3,4
1450,52.526521,13.298468,2,2,4
1451,52.524574,13.303548,0,4,4
1452,52.524547,13.306007,1,3,4
1453,52.518333,13.304148,3,1,4
1454,52.513585,13.300895,0,4,4
1455,52.519207,13.296003,5,0,4
1456,52.517823,13.296521,1,3,4
1457,52.515814,13.296861,0,4,4
1458,52.504813,13.300157,2,2,4
1459,52.503324,13.295326,0,4,4
1460,52.503164,13.287308,1,3,4
1461,52.507816,13.285696,0,4,4
1462,52.510792,13.289267,1,3,4
1463,52.489144,13.310945,1,3,4
1464,52.490729,13.309014,0,4,4
1465,52.486312,13.32095,4,0,4
1466,52.489555,13.319474,0,4,4
1467,52.48917,13.316312,0,4,4
1468,52.495657,13.31543,4,0,4
1469,52.496054,13.308041,2,2,4
1470,52.497045,13.305029,0,4,4
1471,52.492222,13.309235,0,4,4
1472,52.497998,13.31992,1,3,4
1473,52.495493,13.322134,0,4,4
1474,52.494555,13.327286,0,4,4
1475,52.498077,13.326969,0,4,4
1476,52.498553,13.334055,0,4,4
1477,52.498002,13.336951,0,4,4
1478,52.500175,13.341438,1,3,4
1479,52.497434,13.33979,1,3,4
1480,52.500378,13.300482,0,4,4
1481,52.500918,13.297883,2,2,4
1482,52.502644,13.305508,1,3,4
1483,52.503817,13.303462,1,3,4
1484,52.505048,13.306945,0,4,4
1485,52.501946,13.309861,1,3,4
1486,52.500716,13.311915,0,4,4
1487,52.500171,13.325263,0,4,4
1488,52.489216,13.344735,0,4,4
1489,52.487803,13.342668,0,4,4
1490,52.485784,13.335476,0,4,4
1491,52.497664,13.347959,2,2,4
1492,52.500613,13.349983,1,3,4
1493,52.502047,13.35357,1,3,4
1494,52.493063,13.367983,3,1,4
1495,52.496855,13.384475,4,0,4
1496,52.483721,13.447523,1,3,4
1497,52.482989,13.445855,1,3,4
1498,52.482333,13.443205,1,3,4
1499,52.481369,13.440447,2,2,4
1500,52.472782,13.455194,2,2,4
1501,52.472802,13.452625,2,2,4
1502,52.471492,13.441547,0,4,4
1503,52.479118,13.425336,0,4,4
1504,52.486518,13.424344,1,3,4
1505,52.488281,13.427787,1,3,4
1506,52.490196,13.426554,0,4,4
1507,52.491343,13.427914,0,4,4
1508,52.493276,13.42819,0,4,4
1509,52.467334,13.440623,4,0,4
1510,52.458067,13.425052,1,3,4
1511,52.463128,13.444244,3,1,4
1512,52.499151,13.440104,2,2,4
1513,52.523029,13.453428,0,4,4
1514,52.534952,13.4456,0,4,4
1515,52.519887,13.451756,0,4,4
1516,52.536218,13.433479,0,4,4
1517,52.540234,13.390971,1,3,4
1518,52.541144,13.412563,0,4,4
1519,52.541128,13.40788,0,4,4
1520,52.538479,13.396068,1,3,4
1521,52.522785,13.362503,0,4,4
1522,52.550719,13.410235,0,4,4
1523,52.552601,13.408331,0,4,4
1524,52.549929,13.40811,0,4,4
1525,52.553009,13.403267,0,4,4
1526,52.555329,13.408811,0,4,4
1527,52.554012,13.406102,0,4,4
1528,52.546408,13.397596,0,4,4
1529,52.547633,13.389115,2,2,4
1530,52.549656,13.392254,3,1,4
1531,52.549943,13.387683,1,3,4
1532,52.551696,13.382341,0,4,4
1533,52.55081,13.384808,2,2,4
1534,52.551949,13.388606,0,4,4
1535,52.546555,13.366618,1,3,4
1536,52.548321,13.369353,1,3,4
1537,52.551768,13.371167,0,4,4
1538,52.554275,13.371022,1,3,4
1539,52.554843,13.366307,1,3,4
1540,52.550572,13.35893,0,4,4
1541,52.550048,13.346318,2,2,4
1542,52.558477,13.351187,0,4,4
1543,52.559966,13.37006,0,4,4
1544,52.549962,13.421838,0,4,4
1545,52.548931,13.420942,0,4,4
1546,52.54611,13.424124,0,4,4
1547,52.55136,13.418408,0,4,4
1548,52.548057,13.428292,0,4,4
1549,52.545718,13.42826,2,2,4
1550,52.530366,13.454783,0,4,4
1551,52.533738,13.457549,1,3,4
1552,52.534782,13.451541,1,3,4
1553,52.536698,13.450545,0,4,4
1554,52.471122,13.38535,2,2,4
1555,52.467153,13.385835,0,4,4
1556,52.46472,13.385854,0,4,4
1557,52.459745,13.378848,0,4,4
1558,52.45497,13.380963,0,4,4
1559,52.457993,13.387003,0,4,4
1560,52.456326,13.384046,0,4,4
1561,52.457281,13.381476,2,2,4
1562,52.461261,13.380783,1,3,4
1563,52.464259,13.296437,3,1,4
1564,52.557628,13.390376,0,4,4
1565,52.560871,13.377251,0,4,4
1566,52.543892,13.432417,2,2,4
1567,52.564736,13.390199,0,4,4
1568,52.564848,13.393615,4,0,4
1569,52.561889,13.397791,0,4,4
1570,52.56968,13.404773,3,1,4
1571,52.571003,13.410637,1,3,4
1572,52.565473,13.40618,0,4,4
1573,52.550161,13.391155,0,4,4
1574,52.55385,13.391793,0,4,4
1575,52.508385,13.451616,2,2,4
1576,52.508203,13.452544,0,4,4
1577,52.516717,13.423313,0,4,4
1578,52.51801,13.433431,0,4,4
1579,52.521088,13.429799,1,3,4
1580,52.517641,13.436853,0,4,4
1581,52.51836,13.440449,0,4,4
1582,52.51782,13.452909,0,4,4
1583,52.520409,13.469276,2,2,4
1584,52.51219,13.471231,0,4,4
1585,52.486276,13.4427,0,4,4
1586,52.481317,13.437352,0,4,4
1587,52.482222,13.429155,1,3,4
1588,52.503984,13.417498,0,4,4
1589,52.506387,13.401014,2,2,4
1590,52.500952,13.393774,0,4,4
1591,52.472649,13.48058,0,4,4
1592,52.463422,13.480178,0,4,4
1593,52.480084,13.483233,0,4,4
1594,52.482794,13.470528,0,4,4
1595,52.479157,13.4816,0,4,4
1596,52.464145,13.488954,2,2,4
1597,52.468993,13.478447,0,4,4
1598,52.469694,13.466964,0,4,4
1599,52.471606,13.466764,1,3,4
1600,52.472916,13.458236,1,3,4
1601,52.475057,13.452641,3,1,4
1602,52.495921,13.442647,2,2,4
1603,52.50108,13.441555,4,0,4
1604,52.502492,13.456503,2,1,4
1605,52.515872,13.267891,2,2,4
1606,52.545793,13.444449,0,4,4
1607,52.540072,13.427805,1,3,4
1608,52.473073,13.42525,0,4,4
1609,52.479876,13.42311,1,3,4
1610,52.475886,13.424633,0,4,4
1611,52.474318,13.427444,1,3,4
1612,52.47626,13.309853,0,4,4
1613,52.475191,13.320081,0,4,4
1614,52.472826,13.317193,0,4,4
1615,52.474022,13.31748,1,3,4
1616,52.478903,13.320577,1,3,4
1617,52.481475,13.316604,5,0,4
1618,52.442814,13.380761,2,2,4
1619,52.439249,13.382846,2,2,4
1620,52.443212,13.386539,1,3,4
1621,52.513126,13.463922,2,2,4
1622,52.480049,13.359177,0,4,4
1623,52.538667,13.326637,0,4,4
1624,52.517767,13.397983,3,1,4
1625,52.515773,13.398485,0,4,4
1626,52.517424,13.399283,3,1,4
1627,52.515078,13.410412,7,0,4
1628,52.515637,13.415208,3,1,4
1629,52.515199,13.412177,2,2,4
1630,52.521264,13.413427,2,2,4
1631,52.520981,13.414564,2,2,4
1632,52.518907,13.411056,1,3,4
1633,52.517833,13.407723,0,4,4
1634,52.517144,13.403517,1,3,4
1635,52.512375,13.404232,2,2,4
1636,52.512765,13.411871,5,0,4
1637,52.51149,13.415202,1,3,4
1638,52.510609,13.409747,2,2,4
1639,52.503037,13.413475,2,2,4
1640,52.522012,13.408347,0,4,4
1641,52.493046,13.407699,1,3,4
1642,52.495353,13.389799,0,4,4
1643,52.496502,13.38712,2,2,4
1644,52.493723,13.379395,0,4,4
1645,52.488141,13.370678,0,4,4
1646,52.487945,13.373859,0,4,4
1647,52.501339,13.442202,1,3,4
1648,52.467309,13.473186,0,4,4
1649,52.466433,13.464016,0,4,4
1650,52.462127,13.460891,2,2,4
1651,52.464123,13.464799,0,4,4
1652,52.477913,13.374135,0,4,4
1653,52.486299,13.361515,0,4,4
1654,52.489059,13.363034,0,4,4
1655,52.491273,13.367368,2,2,4
1656,52.489768,13.382185,0,4,4
1657,52.51227,13.391252,0,4,4
1658,52.51609,13.388875,1,3,4
1659,52.515278,13.388989,0,4,4
1660,52.515313,13.395526,1,3,4
1661,52.518996,13.390228,4,0,4
1662,52.519834,13.388783,2,4,6
1663,52.521166,13.402897,1,3,4
1664,52.519462,13.40332,1,3,4
1665,52.511018,13.391634,4,0,4
1666,52.510054,13.38697,0,4,4
1667,52.501633,13.343663,0,4,4
1668,52.481771,13.434284,3,1,4
1669,52.526023,13.240286,4,0,4
1670,52.523183,13.367497,0,4,4
1671,52.524114,13.370464,2,2,4
1672,52.527593,13.361057,2,2,4
1673,52.523278,13.342402,0,4,4
1674,52.523448,13.336276,0,4,4
1675,52.525057,13.337601,1,3,4
1676,52.524071,13.332078,1,3,4
1677,52.519654,13.331944,0,4,4
1678,52.520546,13.332961,0,4,4
1679,52.524067,13.339507,1,3,4
1680,52.521134,13.338309,0,4,4
1681,52.515548,13.333776,1,3,4
1682,52.514658,13.336141,1,3,4
1683,52.516325,13.335659,1,3,4
1684,52.518768,13.339454,0,4,4
1685,52.520747,13.341696,0,4,4
1686,52.522331,13.344934,2,2,4
1687,52.514057,13.331018,0,4,4
1688,52.516417,13.327221,1,3,4
1689,52.512943,13.329967,0,4,4
1690,52.510201,13.330058,8,0,4
1691,52.50658,13.330933,0,4,4
1692,52.50704,13.33023,0,4,4
1693,52.505388,13.331228,3,1,4
1694,52.508568,13.326437,1,3,4
1695,52.509084,13.325418,3,1,4
1696,52.513743,13.317559,1,3,4
1697,52.505734,13.448553,0,4,4
1698,52.505199,13.449733,6,0,4
1699,52.505731,13.449417,0,4,4
1700,52.503899,13.319689,0,4,4
1701,52.52521,13.392436,4,0,4
1702,52.487625,13.477097,0,4,4
1703,52.515124,13.461814,2,2,4
1704,52.532038,13.407987,2,2,4
1705,52.475347,13.364434,0,4,4
1706,52.519116,13.408532,1,3,4
1707,52.518715,13.407172,1,3,4
1708,52.543702,13.426602,1,3,4
1709,52.499785,13.307378,0,4,4
1710,52.48963,13.352616,1,3,4
1711,52.539999,13.3699,0,4,4
1712,52.520804,13.394453,1,3,4
1713,52.520448,13.403932,0,4,4
1714,52.528815,13.385588,0,4,4
1715,52.510693,13.458406,4,0,4
1716,52.511043,13.460709,3,1,4
1717,52.534276,13.404667,0,4,4
1718,52.532968,13.429778,5,0,4
1719,52.542971,13.434732,0,4,4
1720,52.546919,13.431038,0,4,4
1721,52.547604,13.425501,0,4,4
1722,52.550029,13.42621,1,3,4
1723,52.550843,13.424407,0,4,4
1724,52.548896,13.436698,0,4,4
1725,52.549785,13.434452,0,4,4
1726,52.549385,13.441331,1,3,4
1727,52.54714,13.44764,0,4,4
1728,52.543082,13.441526,0,4,4
1729,52.548791,13.4633,2,2,4
1730,52.546255,13.453931,0,4,4
1731,52.548426,13.456398,0,4,4
1732,52.54861,13.466819,3,1,4
1733,52.551818,13.452609,0,4,4
1734,52.552495,13.449249,0,4,4
1735,52.555752,13.438814,0,4,4
1736,52.557937,13.439343,0,4,4
1737,52.557792,13.433308,0,4,4
1738,52.556706,13.429361,2,2,4
1739,52.558709,13.418207,0,4,4
1740,52.560835,13.422713,0,4,4
1741,52.553908,13.445628,0,4,4
1742,52.552471,13.430711,1,3,4
1743,52.55249,13.427793,0,4,4
1744,52.555138,13.418255,0,4,4
1745,52.555614,13.433923,0,4,4
1746,52.549948,13.453944,0,4,4
1747,52.547451,13.459974,3,1,4
1748,52.539437,13.452492,0,4,4
1749,52.541985,13.4535,0,4,4
1750,52.56126,13.412711,0,4,4
1751,52.485841,13.481694,0,4,4
1752,52.565064,13.41389,0,4,4
1753,52.56676,13.416136,0,4,4
1754,52.567771,13.427312,0,4,4
1755,52.560497,13.427754,0,4,4
1756,52.481143,13.448757,2,2,4
1757,52.491473,13.44667,0,4,4
1758,52.491953,13.450881,1,3,4
1759,52.496565,13.4505,0,4,4
1760,52.503057,13.446895,0,4,4
1761,52.49954,13.463053,0,4,4
1762,52.504569,13.448092,1,3,4
1763,52.502688,13.447759,0,4,4
1764,52.500512,13.441013,0,4,4
1765,52.494262,13.460581,0,4,4
1766,52.508003,13.435748,0,4,4
1767,52.502768,13.475459,1,3,4
1768,52.504262,13.479259,2,2,4
1769,52.505266,13.471411,0,4,4
1770,52.503277,13.473414,0,4,4
1771,52.516887,13.383703,3,1,4
1772,52.508379,13.37446,2,2,4
1773,52.504811,13.476715,0,4,4
1774,52.505183,13.475167,0,4,4
1775,52.507928,13.474764,3,1,4
1776,52.541718,13.337369,0,4,4
1777,52.54019,13.346867,2,2,4
1778,52.539172,13.345496,0,4,4
1779,52.544273,13.354746,0,4,4
1780,52.486713,13.451128,1,3,4
1781,52.47405,13.44277,1,3,4
1782,52.501884,13.440302,1,3,4
1783,52.461844,13.440477,0,4,4
1784,52.462991,13.437598,0,4,4
1785,52.465745,13.426795,0,4,4
1786,52.455523,13.429067,0,4,4
1787,52.491538,13.488185,0,4,4
1788,52.504833,13.442314,3,1,4
1789,52.509097,13.432723,0,4,4
1790,52.507079,13.413207,0,4,4
1791,52.502642,13.446289,0,4,4
1792,52.489124,13.453472,1,3,4
1793,52.471058,13.441075,0,4,4
1794,52.472171,13.43923,0,4,4
1795,52.469292,13.4304,0,4,4
1796,52.468197,13.432927,1,3,4
1797,52.471616,13.435298,0,4,4
1798,52.509802,13.351538,0,4,4
1799,52.466267,13.4385,0,4,4
1800,52.465907,13.434235,2,2,4
1801,52.46823,13.441779,1,3,4
1802,52.467807,13.442345,1,3,4
1803,52.465047,13.436931,0,4,4
1804,52.511428,13.445441,1,3,4
1805,52.50981,13.37749,0,4,4
1806,52.51633,13.38131,0,4,4
1807,52.51104,13.38126,1,3,4
